猪肺,肉禽蛋,3.0,3.5,3.25,,,个,2022-04-18 00:00:00
猪皮,肉禽蛋,3.0,5.0,4.0,,,斤,2022-04-18 00:00:00
猪肠头,肉禽蛋,15.0,16.0,15.5,,,斤,2022-04-18 00:00:00
猪肠,肉禽蛋,14.0,15.0,14.5,,,斤,2022-04-18 00:00:00
整牛,肉禽蛋,33.0,33.5,33.25,,,斤,2022-04-18 00:00:00
牛前腱,肉禽蛋,37.0,38.0,37.5,,,斤,2022-04-18 00:00:00
牛后腱,肉禽蛋,37.0,38.0,37.5,,,斤,2022-04-18 00:00:00
牛前腿,肉禽蛋,34.0,35.0,34.5,,,斤,2022-04-18 00:00:00
牛后腿,肉禽蛋,34.0,35.0,34.5,,,斤,2022-04-18 00:00:00
牛腰窝,肉禽蛋,34.0,35.0,34.5,,,斤,2022-04-18 00:00:00
牛柳,肉禽蛋,37.0,37.0,37.0,,里脊,斤,2022-04-18 00:00:00
精牛柳,肉禽蛋,38.0,40.0,39.0,,,斤,2022-04-18 00:00:00
牛腩,肉禽蛋,35.0,35.0,35.0,,,斤,2022-04-18 00:00:00
牛林,肉禽蛋,35.0,35.0,35.0,,,斤,2022-04-18 00:00:00
牛油,肉禽蛋,6.0,6.0,6.0,,,斤,2022-04-18 00:00:00
牛金钱腱,肉禽蛋,50.0,50.0,50.0,,,斤,2022-04-18 00:00:00
牛筋头巴脑,肉禽蛋,30.0,33.0,31.5,,,斤,2022-04-18 00:00:00
牛骨,肉禽蛋,5.0,5.0,5.0,,,斤,2022-04-18 00:00:00
牛排骨,肉禽蛋,31.0,32.0,31.5,,,斤,2022-04-18 00:00:00
牛板筋,肉禽蛋,35.0,36.0,35.5,,,斤,2022-04-18 00:00:00
牛尾,肉禽蛋,33.0,35.0,34.0,,,斤,2022-04-18 00:00:00
牛百叶,肉禽蛋,55.0,55.0,55.0,,,斤,2022-04-18 00:00:00
牛上脑,肉禽蛋,34.0,35.0,34.5,,,斤,2022-04-18 00:00:00
整羊,肉禽蛋,24.5,26.0,25.25,,,斤,2022-04-18 00:00:00
去骨羊前腿,肉禽蛋,34.0,35.0,34.5,,,斤,2022-04-18 00:00:00
去骨羊后腿,肉禽蛋,35.0,36.0,35.5,,,斤,2022-04-18 00:00:00
羊腰窝,肉禽蛋,32.0,32.0,32.0,,,斤,2022-04-18 00:00:00
羊肉片,肉禽蛋,36.0,38.0,37.0,,,斤,2022-04-18 00:00:00
羊腰子,肉禽蛋,15.0,15.0,15.0,,挂油,个,2022-04-18 00:00:00
羊蝎子,肉禽蛋,13.0,15.0,14.0,,普通,斤,2022-04-18 00:00:00
羊蝎子,肉禽蛋,25.0,26.0,25.5,,精品,斤,2022-04-18 00:00:00
羊排骨,肉禽蛋,25.0,25.0,25.0,,,斤,2022-04-18 00:00:00
羊尾巴油,肉禽蛋,8.0,9.0,8.5,,,斤,2022-04-18 00:00:00
羊小腿,肉禽蛋,22.0,23.0,22.5,,羊棒,斤,2022-04-18 00:00:00
羊腱子肉,肉禽蛋,35.0,36.0,35.5,,,斤,2022-04-18 00:00:00
羊上脑,肉禽蛋,34.0,35.0,34.5,,,斤,2022-04-18 00:00:00
羊骨头,肉禽蛋,11.0,12.0,11.5,,,斤,2022-04-18 00:00:00
羊腩,肉禽蛋,25.0,25.0,25.0,,,斤,2022-04-18 00:00:00
羊里脊,肉禽蛋,34.0,35.0,34.5,,,斤,2022-04-18 00:00:00
淘汰鸡,肉禽蛋,10.0,11.0,10.5,,干净膛,斤,2022-04-18 00:00:00
淘汰鸡,肉禽蛋,9.5,10.0,9.75,,净膛,斤,2022-04-18 00:00:00
仔鸡,肉禽蛋,7.5,7.5,7.5,,净膛,斤,2022-04-18 00:00:00
肉鸡,肉禽蛋,7.0,7.0,7.0,,,斤,2022-04-18 00:00:00
鸡胸,肉禽蛋,7.2,7.5,7.35,,,斤,2022-04-18 00:00:00
鸡翅,肉禽蛋,11.0,11.0,11.0,,,斤,2022-04-18 00:00:00
鸡翅尖,肉禽蛋,7.5,7.5,7.5,,,斤,2022-04-18 00:00:00
鸡翅中,肉禽蛋,22.0,22.0,22.0,,,斤,2022-04-18 00:00:00
鸡翅根,肉禽蛋,8.5,8.5,8.5,,,斤,2022-04-18 00:00:00
鸡边腿,肉禽蛋,7.0,7.0,7.0,,,斤,2022-04-18 00:00:00
鸡排腿,肉禽蛋,7.5,8.0,7.75,,,斤,2022-04-18 00:00:00
鸡琵琶腿,肉禽蛋,8.0,8.0,8.0,,,斤,2022-04-18 00:00:00
鸡胗,肉禽蛋,13.0,18.0,15.5,,,斤,2022-04-18 00:00:00
鸡爪,肉禽蛋,20.0,21.0,20.5,,,斤,2022-04-18 00:00:00
鸡心,肉禽蛋,6.3,6.5,6.4,,,斤,2022-04-18 00:00:00
鸡肝,肉禽蛋,3.0,3.0,3.0,,,斤,2022-04-18 00:00:00
鸡脖子,肉禽蛋,5.0,5.0,5.0,,去皮,斤,2022-04-18 00:00:00
鸡头,肉禽蛋,3.0,3.0,3.0,,,斤,2022-04-18 00:00:00
鸡架子,肉禽蛋,3.0,3.0,3.0,,,斤,2022-04-18 00:00:00
白条乌鸡,肉禽蛋,12.0,12.0,12.0,,净膛,斤,2022-04-18 00:00:00
黑爪公鸡,肉禽蛋,15.0,15.0,15.0,,净膛,斤,2022-04-18 00:00:00
白条湖鸭,肉禽蛋,7.0,7.0,7.0,,,斤,2022-04-18 00:00:00
鸭腿,肉禽蛋,6.5,7.0,6.75,,,斤,2022-04-18 00:00:00
箱鸡蛋,肉禽蛋,216.0,220.0,218.0,,,箱,2022-04-18 00:00:00
箱鸡蛋,肉禽蛋,4.91,5.0,4.96,,,斤,2022-04-18 00:00:00
散鸡蛋,肉禽蛋,5.1,5.1,5.1,,,斤,2022-04-18 00:00:00
生鸭蛋,肉禽蛋,6.8,7.5,7.15,,,斤,2022-04-18 00:00:00
